event,n_produced,n_wall,n_pmt,first_residual_ns
1814,10056603,9712993,0,0.278405
1815,23172,22242,0,0.11411
1816,5249237,5155500,0,0.453891
1817,5877295,5697953,0,0.190014
1818,875409,864987,0,0.0766179
1819,1612067,1541971,0,0.0528268
1820,55485,55176,0,0.0105552
1821,504863,497907,0,0.073917
1822,99209,97942,0,0.064424
1823,84728,81283,0,0.153191
1824,875066,838570,0,0.360777
1825,497908,485936,0,0.0845565
1826,609718,602428,0,-0.632053
1827,1238740,1179998,0,0.0841452
1828,295635,281374,0,0.212558
1829,1608820,1534326,0,0.0297711
1830,31296,30977,0,0.0867506
1831,2404173,2373693,0,0.0789217
1832,1280599,1257489,0,0.193385
1833,1085488,1043065,0,0.444512
1834,23458,22848,0,0.0148241
1835,499344,487245,0,0.0286325
1836,824428,805913,0,0.152811
1837,516,516,0,0.000336813
1838,2118017,2092380,0,0.0148948
1839,27306,26678,0,0.0353803
1840,613456,605892,0,0.249865
1841,67474,65059,0,0.0875875
1842,121157,118496,0,0.0152517
1843,339555,333852,0,0.117691
1844,5744,5705,0,0.0131241
1845,250147,245386,0,0.137065
1846,553268,537793,0,0.102198
1847,75262,72553,0,0.0272665
1848,104736,103171,0,0.0544178
1849,7577,7532,0,0.0128066
1850,47742,46763,0,0.166873
1851,72601,71775,0,0.0257714
1852,978697,946609,0,0.00772754
1853,240753,231205,0,0.630315
1854,1477598,1431994,0,0.135881
1855,889758,849547,0,0.028116
1856,388730,381861,0,0.0323794
1857,478585,469457,0,0.115466
1858,33302,32128,0,0.0130554
1859,49002,47867,0,0.274436
1860,3569,3559,0,0.00897219
1861,262975,260178,0,0.0787053
1862,1850022,1766815,0,0.0405312
1863,966748,953355,0,0.0905629
1864,575905,561390,0,9.45648
1865,156345,147803,0,0.869248
1866,3056629,2977398,0,0.165364
1867,61285,60165,0,0.252832
1868,1048107,1013974,0,0.0220914
1869,278182,272736,0,0.0456225
1870,2540853,2500035,0,0.409058
1871,10392440,10086255,0,0.0279457
1872,629632,621513,0,0.393088
1873,137197,131789,0,-0.231891
1874,5196,4954,0,0.00426041
1875,448712,441887,0,0.117531
1876,39897,39598,0,0.224493
1877,6173102,6049751,0,0.168753
1878,826723,786967,0,0.115493
1879,666414,655994,0,0.129083
1880,1190,1180,0,0.00136848
1881,772198,759091,0,0.152653
1882,717796,704954,0,0.237344
1883,1080749,1046926,0,0.100703
1884,92071,90158,0,0.120727
1885,3694,3628,0,0.00207211
1886,6160187,5995808,0,2.66205
1887,8460600,8040250,0,0.174513
1888,18798900,18097401,0,0.270432
1889,6374128,6233610,0,0.333152
1890,58257,57799,0,0.0665757
1891,723295,693399,0,0.0481275
1892,105541,103980,0,0.144336
1893,24454535,23086570,0,0.260729
1894,2131062,2073559,0,0.634126
1895,2864004,2802584,0,0.146677
1896,1271920,1235803,0,0.118693
1897,574662,546704,0,0.0356885
1898,71346,70330,0,0.00745479
1899,1422884,1364508,0,0.281021
1900,265101,252477,0,-0.578601
1901,38094454,36110195,0,0.0224811
1902,1276991,1243366,0,0.0410201
1903,868647,849799,0,0.0445189
1904,3551844,3408504,0,0.0822709
1905,405254,392345,0,0.447463
1906,33068729,31497822,0,0.299763
1907,2574480,2527220,0,0.104825
1908,1313723,1279956,0,0.216067
1909,225561,217009,0,0.0202576
1910,420925,412307,0,0.115771
1911,11987,11650,0,0.0304813
1912,127958,126259,0,0.0185979
1913,4260,4224,0,0.0218458
1914,2289312,2155823,0,6.88854
1915,2655,2645,0,0.0173934
1916,287111,281078,0,0.128508
1917,365192,359578,0,0.128352
1918,31012498,29823010,0,0.0169244
1919,4181435,4075402,0,0.149745
1920,3260945,3135780,0,0.0465966
1921,2187960,2074150,0,4.90889e-06
1922,2305966,2274536,0,0.125932
1923,542591,524696,0,0.371655
1924,4090958,3914675,0,0.0911241
1925,57606554,54593034,0,0.138579
1926,389722,381207,0,0.242467
1927,564981,555055,0,0.0709983
1928,842600,813218,0,0.0366251
1929,1028768,989004,0,0.470494
1930,72285,71215,0,0.104822
1931,572378,555414,0,0.705289
1932,679451,658757,0,0.295179
1933,1866644,1816807,0,0.0648092
1934,631903,617878,0,0.159166
1935,3765763,3666214,0,0.214628
1936,22780325,22068707,0,0.369243
1937,2133881,2051528,0,0.148213
1938,3159970,3063550,0,0.0916897
1939,1426291,1383972,0,0.03715
1940,715304,693492,0,0.278294
1941,15742,15655,0,0.0146282
1942,661825,648829,0,0.183911
1943,1171978,1149318,0,0.204929
1944,1305,1305,0,0.000872438
1945,325454,317735,0,9.89706
1946,384975,375987,0,0.0902062
1947,3548774,3470610,0,0.121822
1948,6455,6287,0,0.00186731
1949,466591,455025,0,0.109399
1950,12122,12046,0,0.0842325
1951,240106,232381,0,0.0131825
1952,1845027,1773246,0,2.41103
1953,5662260,5381623,0,0.0581053
1954,193241,191490,0,0.0728777
1955,948827,928262,0,0.178599
1956,264163,261181,0,0.0729292
1957,1664655,1637770,0,0.0835243
1958,711545,695967,0,0.0184614
1959,1827,1819,0,0.00254266
1960,9552992,9318547,0,0.245662
1961,1601468,1558032,0,0.121897
1962,37415,36062,0,0.00894358
1963,2102882,2004397,0,0.209321
1964,39191,39010,0,0.0592176
1965,11830039,11197292,0,0.0451609
1966,9003,8693,0,0.124772
1967,13390,12948,0,0.0109146
1968,7410022,7231540,0,0.557541
1969,90833,87285,0,0.0029382
1970,457910,443376,0,0.0295668
1971,2461,2412,0,0.0644529
1972,38479,37598,0,0.0669712
1973,302334,289886,0,0.422315
1974,153355,150167,0,-0.859562
1975,4229902,4122890,0,0.420152
1976,1779,1771,0,0.00533017
1977,4239277,4056446,0,0.35782
1978,2592725,2523079,0,0.0627959
1979,5350,5296,0,0.0351783
1980,109314,107860,0,0.0233313
1981,14123741,13599109,0,0.24474
1982,540742,526276,0,0.898184
1983,4074606,3941883,0,0.540794
1984,2257444,2183005,0,0.510282
1985,631840,610874,0,0.165375
1986,3840,3796,0,0.055493
1987,8476280,8214053,0,0.150161
1988,9504,9399,0,0.00780531
1989,25645,25278,0,0.0495706
1990,2116666,2063111,0,0.17529
1991,460817,442603,0,0.0271463
1992,467850,463560,0,0.0592214
1993,910353,896590,0,0.141422
1994,6062,6041,0,0.0295948
1995,8018299,7669822,0,0.0483885
1996,2867,2834,0,0.0032045
1997,347458,341775,0,0.105078
1998,76821,75743,0,0.174543
1999,37444171,35529467,0,0.298379
